"n","s"
2,-1
2,0
2,2
2,4
2,1
3,-1
3,0
3,2
3,4
3,6
3,8
3,10
4,-1
4,0
4,2
4,4
4,10
4,18
4,20
4,22
5,-1
5,0
5,2
5,4
5,20
5,38
5,40
5,42
6,-1
6,0
6,2
6,4
6,35
6,68
6,70
6,72
7,-1
7,0
7,2
7,4
7,56
7,110
7,112
7,114
8,-1
8,0
8,2
8,4
8,84
8,166
8,168
8,170
9,-1
9,0
9,2
9,4
9,120
9,238
9,240
9,242
10,-1
10,0
10,2
10,4
10,165
10,328
10,330
10,332
11,-1
11,0
11,2
11,4
11,220
11,438
11,440
11,442
12,-1
12,0
12,2
12,4
12,286
12,570
12,572
12,574
13,-1
13,0
13,2
13,4
13,364
13,726
13,728
13,730
14,-1
14,0
14,2
14,4
14,455
14,908
14,910
14,912
