"gene_1","gene_2","gene_3","gene_4","gene_5"
5.110949,4.543741,6.424113,1.394781,7
6.724325,5.887545,9.000893,2.674664,7
10.180647,6.646196,13.036258,2.90701,7
8.337692,6.020279,10.425528,2.842368,7
6.131096,5.248825,7.700711,4.229945,7
6.031627,4.067882,7.794041,2.716363,7
6.980123,5.594455,9.102544,4.46569,7
8.386695,5.343565,11.069699,3.660733,7
8.593338,4.431048,11.297277,1.668009,7
8.747232,5.211527,11.538676,2.3557,7
8.507616,4.457461,11.28375,2.986496,7
10.118416,4.730354,13.744631,4.236125,7
9.746074,4.69661,12.725001,1.655006,7
9.985197,4.728299,12.906811,2.700413,7
8.045457,4.51955,10.452148,3.104902,7
6.853891,5.929819,9.017872,4.038256,7
8.384034,5.468552,11.298653,1.975319,7
5.582916,5.406996,7.524543,4.587216,7
7.738421,4.888652,9.611321,0.739016,7
8.546031,5.016444,10.921962,5.697092,7
5.281296,6.4153,6.982595,,7
8.006449,4.757301,9.996993,,7
5.954937,4.133019,7.560466,,7
9.908797,5.442545,12.060173,,7
