"table","row_level","col_level","count"
"t2x2","no","no",21
"t2x2","yes","no",9
"t2x2","no","yes",8
"t2x2","yes","yes",22
"t3x4","low","q1",14
"t3x4","mid","q1",9
"t3x4","high","q1",6
"t3x4","low","q2",11
"t3x4","mid","q2",17
"t3x4","high","q2",8
"t3x4","low","q3",7
"t3x4","mid","q3",6
"t3x4","high","q3",15
"t3x4","low","q4",5
"t3x4","mid","q4",12
"t3x4","high","q4",10
"pair_small","no","no",28
"pair_small","yes","no",9
"pair_small","no","yes",3
"pair_small","yes","yes",14
"hole","low","x",7
"hole","mid","x",0
"hole","high","x",4
"hole","low","y",0
"hole","mid","y",0
"hole","high","y",0
"hole","low","z",5
"hole","mid","z",0
"hole","high","z",9
