"table","row_level","col_level","count"
"t2x2","no","no",21
"t2x2","yes","no",9
"t2x2","no","yes",8
"t2x2","yes","yes",22
"t2x2_zero","no","no",14
"t2x2_zero","yes","no",0
"t2x2_zero","no","yes",5
"t2x2_zero","yes","yes",11
"t2x4","no","q1",12
"t2x4","yes","q1",7
"t2x4","no","q2",9
"t2x4","yes","q2",14
"t2x4","no","q3",6
"t2x4","yes","q3",11
"t2x4","no","q4",13
"t2x4","yes","q4",5
"t3x4","low","q1",14
"t3x4","mid","q1",9
"t3x4","high","q1",6
"t3x4","low","q2",11
"t3x4","mid","q2",17
"t3x4","high","q2",8
"t3x4","low","q3",7
"t3x4","mid","q3",6
"t3x4","high","q3",15
"t3x4","low","q4",5
"t3x4","mid","q4",12
"t3x4","high","q4",10
"t3x3_small","low","x",3
"t3x3_small","mid","x",1
"t3x3_small","high","x",0
"t3x3_small","low","y",2
"t3x3_small","mid","y",4
"t3x3_small","high","y",1
"t3x3_small","low","z",1
"t3x3_small","mid","z",2
"t3x3_small","high","z",5
"t3x3_mid","low","x",8
"t3x3_mid","mid","x",4
"t3x3_mid","high","x",2
"t3x3_mid","low","y",5
"t3x3_mid","mid","y",9
"t3x3_mid","high","y",4
"t3x3_mid","low","z",3
"t3x3_mid","mid","z",5
"t3x3_mid","high","z",10
"t_big","r1","c1",18
"t_big","r2","c1",12
"t_big","r3","c1",9
"t_big","r4","c1",7
"t_big","r5","c1",11
"t_big","r1","c2",14
"t_big","r2","c2",16
"t_big","r3","c2",8
"t_big","r4","c2",6
"t_big","r5","c2",13
"t_big","r1","c3",10
"t_big","r2","c3",15
"t_big","r3","c3",9
"t_big","r4","c3",17
"t_big","r5","c3",12
"t_big","r1","c4",11
"t_big","r2","c4",14
"t_big","r3","c4",8
"t_big","r4","c4",13
"t_big","r5","c4",10
"t_big","r1","c5",7
"t_big","r2","c5",16
"t_big","r3","c5",11
"t_big","r4","c5",9
"t_big","r5","c5",12
"pair_small","no","no",28
"pair_small","yes","no",9
"pair_small","no","yes",3
"pair_small","yes","yes",14
"pair_large","no","no",64
"pair_large","yes","no",31
"pair_large","no","yes",17
"pair_large","yes","yes",48
"pair_one_way","no","no",30
"pair_one_way","yes","no",11
"pair_one_way","no","yes",0
"pair_one_way","yes","yes",15
