"value","outlier","tied"
8.904395,100.043654,1
8.584747,96.495424,2
10.958257,91.247374,2
11.026297,99.63152,3
11.838409,104.280915,3
8.308622,102.546852,3
9.819105,133.320708,2
8.665611,103.77571,3
10.483552,95.555236,3
6.074564,109.056099,4
9.681342,94.950625,4
2.719391,104.938026,5
13.17721,108.66189,3
10.842436,105.658423,4
13.010121,106.227507,4
13.021185,110.511172,5
11.702025,101.32864,5
12.470918,99.550493,6
11.69367,100.680621,
11.595247,100.824639,
12.060361,,
12.483949,,
11.777202,,
12.122253,,
18.576948,,
9.200886,,
7.868831,,
15.465379,,
12.624945,,
9.440356,,
