"cell","treatment","sex","value"
"control.male","control","male",11.410825
"control.male","control","male",10.29615
"control.male","control","male",9.496431
"control.male","control","male",10.655535
"control.male","control","male",7.562359
"control.male","control","male",6.780643
"treat_A.male","treat_A","male",8.819612
"treat_A.male","treat_A","male",11.355071
"treat_A.male","treat_A","male",11.392538
"treat_A.male","treat_A","male",9.928138
"treat_A.male","treat_A","male",11.10413
"treat_B.male","treat_B","male",10.958944
"treat_B.male","treat_B","male",6.808017
"treat_B.male","treat_B","male",11.031649
"treat_B.male","treat_B","male",8.301947
"control.female","control","female",9.800109
"control.female","control","female",9.465562
"control.female","control","female",10.861249
"control.female","control","female",11.620479
"control.female","control","female",12.843268
"control.female","control","female",12.484638
"control.female","control","female",11.213956
"treat_A.female","treat_A","female",14.576517
"treat_A.female","treat_A","female",12.204568
"treat_A.female","treat_A","female",14.597318
"treat_B.female","treat_B","female",12.774299
"treat_B.female","treat_B","female",12.016215
"treat_B.female","treat_B","female",12.597801
"treat_B.female","treat_B","female",11.601827
"treat_B.female","treat_B","female",12.116519
