"score","cond","subject","shifted"
4.345422,"t1","s01",3.512874
-2.317896,"t1","s02",2.678584
-0.509334,"t1","s03",1.531831
-1.730886,"t1","s04",4.440443
2.140058,"t1","s05",4.396413
0.372661,"t1","s06",3.334762
-0.918279,"t1","s07",0.714422
0.677146,"t1","s08",2.698261
4.663299,"t1","s09",-0.524022
-1.230195,"t1","s10",0.461104
0.073986,"t1","s11",1.257935
3.427929,"t1","s12",5.644601
6.532001,"t2","s01",2.262711
-2.880639,"t2","s02",-0.081634
-1.334253,"t2","s03",0.583156
-3.186401,"t2","s04",2.793885
2.687319,"t2","s05",0.696632
1.426761,"t2","s06",1.674287
1.424287,"t2","s07",1.676761
0.446632,"t2","s08",2.937319
2.543885,"t2","s09",-2.936401
0.333156,"t2","s10",-1.084253
-0.331634,"t2","s11",-2.630639
2.012711,"t2","s12",6.782001
5.394601,"t3","s01",3.677929
1.007935,"t3","s02",0.323986
0.211104,"t3","s03",-0.980195
-0.774022,"t3","s04",4.913299
2.448261,"t3","s05",0.927146
0.464422,"t3","s06",-0.668279
3.084762,"t3","s07",0.622661
4.146413,"t3","s08",2.390058
4.190443,"t3","s09",-1.480886
1.281831,"t3","s10",-0.259334
2.428584,"t3","s11",-2.067896
3.262874,"t3","s12",4.595422
