"group","value","block"
"ctrl",8.904395,"continuous"
"ctrl",8.584747,"continuous"
"ctrl",10.958257,"continuous"
"ctrl",11.026297,"continuous"
"ctrl",11.838409,"continuous"
"ctrl",8.308622,"continuous"
"ctrl",9.819105,"continuous"
"ctrl",8.665611,"continuous"
"ctrl",10.483552,"continuous"
"low",6.074564,"continuous"
"low",9.681342,"continuous"
"low",2.719391,"continuous"
"low",13.17721,"continuous"
"low",10.842436,"continuous"
"low",13.010121,"continuous"
"low",13.021185,"continuous"
"mid",11.702025,"continuous"
"mid",12.470918,"continuous"
"mid",11.69367,"continuous"
"mid",11.595247,"continuous"
"mid",12.060361,"continuous"
"mid",12.483949,"continuous"
"mid",11.777202,"continuous"
"mid",12.122253,"continuous"
"high",18.576948,"continuous"
"high",9.200886,"continuous"
"high",7.868831,"continuous"
"high",15.465379,"continuous"
"high",12.624945,"continuous"
"high",9.440356,"continuous"
"a",1,"tied"
"a",2,"tied"
"a",2,"tied"
"a",3,"tied"
"a",3,"tied"
"a",3,"tied"
"b",2,"tied"
"b",3,"tied"
"b",3,"tied"
"b",4,"tied"
"b",4,"tied"
"b",5,"tied"
"c",3,"tied"
"c",4,"tied"
"c",4,"tied"
"c",5,"tied"
"c",5,"tied"
"c",6,"tied"
