"gene_1","gene_2","gene_3","group"
5.110949,4.543741,6.424113,"ctrl"
18.724325,5.887545,9.000893,"ctrl"
10.180647,6.646196,13.036258,"ctrl"
8.337692,6.020279,10.425528,"ctrl"
6.131096,,7.700711,"ctrl"
6.031627,4.067882,7.794041,"ctrl"
6.980123,5.594455,9.102544,"ctrl"
8.386695,5.343565,11.069699,"ctrl"
8.593338,4.431048,11.297277,"treat_a"
8.747232,5.211527,11.538676,"treat_a"
8.507616,4.457461,11.28375,"treat_a"
10.118416,4.730354,13.744631,"treat_a"
9.746074,4.69661,12.725001,"treat_a"
9.985197,4.728299,12.906811,"treat_a"
8.045457,4.51955,10.452148,"treat_a"
6.853891,5.929819,9.017872,"treat_a"
8.384034,5.468552,11.298653,"treat_b"
5.582916,5.406996,7.524543,"treat_b"
19.738421,4.888652,9.611321,"treat_b"
8.546031,5.016444,10.921962,"treat_b"
5.281296,6.4153,6.982595,"treat_b"
8.006449,4.757301,9.996993,"treat_b"
5.954937,4.133019,7.560466,"treat_b"
9.908797,5.442545,12.060173,"treat_b"
