"x","y"
1.512633,1.242052
-0.200412,-0.159003
-1.517508,0.361623
1.230093,-0.540309
-1.538729,-0.641788
0.386581,-0.153293
-0.228512,-1.077155
-1.137428,-1.623405
2.043901,1.554311
1.832471,0.190216
-0.923781,0.777845
0.018112,-0.097077
0.049662,0.856872
-0.654613,-1.968692
0.546041,0.202629
0.230791,-1.060271
-0.262335,1.704447
-0.055088,-0.554141
0.998164,1.616903
1.413486,0.543323
0.65264,0.4389
0.635745,0.812117
0.210914,0.361133
0.350922,1.214152
2.633055,0.757952
0.324192,-0.257931
-0.092363,-0.461239
0.97208,-0.771571
2.366644,-0.33003
-0.242966,0.047132
0.713026,-0.223769
-0.505924,2.037085
-1.547004,-0.373103
-0.989029,0.560519
1.03741,0.680568
0.258997,-0.554515
-1.507416,1.259373
0.435114,-0.513912
1.74329,1.43567
1.501892,0.213223
-1.595576,-0.157496
0.669369,1.710188
0.163655,-0.852986
-0.4119,1.258942
0.382469,0.967466
-0.433629,-1.529575
0.482952,-1.045121
1.195877,1.987782
-1.045367,0.187622
0.052571,-0.382528
0.694448,-1.148527
0.53094,0.0854
0.863164,-1.901608
-1.401354,-0.831679
0.375166,-0.801586
,-1.299966
,-0.380268
,-0.722089
,0.105671
,-0.815117
