"value","tied"
0.252947,1
1.320934,2
-0.050413,3
2.241016,4
0.255415,5
-0.881602,1
0.388373,2
-0.135936,3
0.969223,4
0.130567,5
0.804697,1
-0.532993,2
-0.183573,3
2.438531,4
0.708862,5
1.156083,1
-1.511839,2
0.571773,3
1.479628,4
0.13032,5
1.739837,1
-0.549869,2
-1.490444,3
2.409123,4
-1.84586,5
0.72716,1
-0.168153,2
-0.857617,3
0.039077,4
0.845701,5
-2.889766,1
-0.370329,2
0.079487,3
1.037729,4
0.068083,5
0.275871,1
2.473235,2
-0.950945,3
0.487844,4
-0.14238,5
-0.00867,1
1.985026,2
-0.10787,3
-0.140274,4
1.258012,5
0.878215,1
-0.884459,2
-0.044259,3
-0.371625,4
0.632659,5
-2.228606,1
-0.801148,2
0.920441,3
0.827749,4
1.778828,5
